[0.98-16.29] 我们稍微等一会
[116.46-120.33] 现在好了
[120.33-125.87] 然后先来解释一下这个是什么意思
[125.87-126.95] 我们这里
[126.95-129.75] 一般我们这个
[129.75-135.19] 这个animation这个东西是放在我们这个状态类里边
[135.19-137.75] 给它当成一个属线来好
[137.75-141.03] 这个类它是继承在animation类
[141.03-145.03] 这个animation呢它是一个抽象类
[145.03-155.27] 还有地板
[155.31-156.23] 是什么意思
[158.23-159.95] 大部分的地方都需要
[159.95-161.71] 我们需要用的动画的地方呢
[161.71-165.51] 它是只需要一个它是animation就可以
[165.51-166.75] 因为animation有
[166.75-170.11] 它使用它的value这个概态
[170.11-171.07] 得到当前的值
[171.07-176.63] 它就可以来获得它这个动画
[176.63-178.27] 它实际应该放的位置
[179.47-182.55] 然后呢我们在这儿创建了它
[182.55-183.99] 它的这里的实现
[184.07-186.27] 是一个过渡韩式里边这个属线
[186.27-189.15] 就是来弄它的控制的时长
[189.15-191.19] 就是说默认情况下
[191.19-193.99] 我们直接创建的一个animation control的
[193.99-196.31] 它的取值是从0.0
[196.31-197.99] 逐渐变化到1.1
[197.99-199.15] 不是1.0
[199.15-200.59] 这个是一个现行运化
[200.59-203.23] 大家可以看到这个方块移动呢
[203.23-206.11] 它是比较规则
[206.11-212.70] 就是随时间它是一个现行运动
[212.70-215.62] 然后这个参数是什么呢
[215.62-216.58] 这个参数
[217.78-219.62] 大家现在可以滚管
[219.62-220.70] 你只需要知道
[220.70-222.82] 当我们需要在某一个组建内部
[222.82-225.30] 使用状态的时候
[225.30-226.22] 就是使用动画的时候
[226.22-229.22] 我们需要给这一个状态类
[229.22-230.90] 混入这么一个东西
[232.10-236.42] 叫什么tk provider
[236.42-238.98] 这个混入语法我们之前也没讲过
[238.98-239.82] 但是也没事
[239.82-243.87] 大家也不用管
[243.87-245.59] 当我们只有一个
[245.59-247.23] 就是只有一个动画的时候
[247.23-250.59] 里边只创建一个可以
[250.59-252.39] 是这样动的东西的
[252.39-255.19] 你可以混入那个single的
[255.19-258.36] 之前的那个single
[258.36-260.00] 当里边有两个
[260.00-261.16] 或者是第三个动画的时候
[261.16-262.64] 我们需要混入
[262.64-264.72] 不是这个single
