[0.00-2.00] 我看喝喝什么粥吧
[2.00-4.40] 喝南瓜粥还是喝咸粥
[7.40-8.80] 那点皮蛋瘦肉
[8.80-10.00] 皮蛋瘦肉是对的
[10.00-12.80] 但我上次户戏的时候
[12.80-14.60] 也喝了三天皮蛋瘦肉粥
[14.60-15.60] 然后又不想喝了
[17.60-19.20] 南瓜粥我们还加汤水
[20.00-20.60] 加什么
[20.60-21.40] 汤水
[21.40-22.00] 汤水
[22.00-22.80] 也还可以
[22.80-23.40] 也还可以
[23.40-24.80] 倒是不吃猫吧
[29.54-30.34] 对了
[30.94-32.34] 然后早上
[33.34-34.74] 配着喝的一般
[34.74-37.14] 配那种护米酒或者是豆浆
[37.14-38.74] 或者是清酒或者是干净
[38.74-39.54] 早上喝酒
[40.14-40.94] 清酒
[41.14-42.54] 反正酒也不重
[43.74-45.94] 就是米酒那个样子
[45.94-46.34] 对
[46.34-48.34] 很开车很开车
[49.14-50.34] 开车
[50.34-51.94] 我一开始喝酒就停下来了
[53.74-54.34] 这样吗
[54.34-54.74] 这样吗
[54.74-55.14] 好
[56.74-57.34] 说吗
[58.14-58.94] 待会喝没事
[58.94-59.74] 你们可以待会喝
[59.74-60.34] 待会喝
[62.93-64.33] 待会去医院来一趟
[64.33-65.13] 喝酒吧
[65.13-65.73] 可以
[65.73-66.53] 一会喝喝酒
[66.53-67.33] 不想喝酒
[68.33-69.93] 因为已经有
[71.13-72.33] 好久不喝酒
[72.33-74.13] 我那个冰箱还有一个
[75.33-76.73] 还有一个动态的墙爽
[77.93-79.33] 然后上次饭冰箱
[79.33-80.93] 饭冰箱还饭到了
[80.93-81.33] 不错
[81.33-82.13] 然后想了一下
[82.13-83.13] 只能一下还是调得很
[85.73-86.93] 你对我有什么偏见
[88.13-89.73] 尼克最近没有存过酒
[89.73-90.53] 这是匪棒
[90.53-91.93] 然后我不喜欢喝墙爽
[92.33-94.33] 房屋是里有酒的
[94.93-95.61] 万一是
[95.61-96.73] 万一是蚕色的
[100.73-101.73] 你干嘛
