[0.02-4.22] 还有茶虫 我倒是不担心茶虫
[4.22-9.02] 我做的方向 扔到市网上 茶虫率高达百分之一
[9.02-13.02] 高达百分之一
[13.02-20.72] 我这个东西也有点
[20.72-23.72] 后续老师会让我去增茶虫
[23.72-26.72] 太低行也不行
[26.72-29.72] 茶虫率好像得维持在15%左右
[29.72-34.26] 那怎么做呢
[34.26-37.26] 多抄点 抄点
[37.26-40.26] 抄太少 抄太少全自己写不行
[40.26-48.60] 吃了 还在里面
[48.60-52.60] 吃饱了 怎么那么小 看起来好吃力
[52.60-54.60] 吃了也好吗
[54.60-56.60] 不然小时候辅导辅导辅导小孩
[56.60-58.60] 对 小时候辅导小孩了
[58.60-59.60] 什么辅导小孩
[59.60-61.60] 这个 这个 这个
[61.60-63.60] 有什么辅导辅导小孩
[63.60-64.60] 可是这个
[64.60-66.60] 我就选择辅导高输去了
[66.60-68.60] 我先讲他的辅导
[69.60-72.60] 那可能是别人辅导他
[72.60-74.60] 有小时候辅导还需要我吗
[74.60-75.60] 况且他闺蜜也有
[75.60-76.60] 不是别的小孩
[76.60-77.60] 我去说他
[77.60-78.60] 那他对辅导小孩
[78.60-79.60] 是有
[79.60-80.60] 是有
[80.60-82.60] 他们一组的一件事
[82.60-86.46] 成功了
[86.46-88.46] 你怎么长得比你多
[88.46-90.46] 外选 确实
[90.46-92.46] 多了
[92.46-95.46] 生意人的选择
[95.46-98.46] 其实还这个好看
[98.46-100.46] 我们囚团长选择了
[100.46-102.46] 我还得一趁结果
[102.46-105.80] 要把啥伤害
[105.80-106.80] 因为是自爆
[106.80-114.14] 好 和伤害
[114.14-115.14] 骑在座骑上路过
[115.14-117.14] 好像还能自动使用
[117.14-119.14] 没有 它有点点
[119.14-120.14] 好快点
[120.14-121.14] 我都没看见
[121.14-127.14] 我以为自动自动用我呢
[127.14-130.42] 看不看就行
[130.42-131.42] 打网
[131.42-133.42] 最近有一个那个
[133.42-135.42] 四个地经
[135.42-136.42] 去什么老头家里
[136.42-138.42] 捣乱做任务
[139.42-140.42] 这是什么
[140.42-141.42] 就是现在
[141.42-142.42] 现在那个在steam上
[142.42-143.42] 应该还是个dynamo
[143.42-144.42] 然后他就是
[144.42-146.42] 就是四人合作类型了
[146.42-148.42] 然后每个人都是一个小地经
[148.42-149.42] 不是小
[149.42-150.42] 然后跑到人家里面
[150.42-152.42] 就是又要类似那个ripple
[152.42-154.42] 我可以试一试
[154.42-155.42] 网易的新游戏好玩吗
[155.42-156.42] 网易的新游戏好玩吗
[156.42-157.42] 网易的新游戏
[157.42-159.42] 你知道我两个人
[159.42-160.42] 在网易的游戏
[160.42-162.42] 我们说比较多
[162.42-163.42] 一环
[163.42-165.42] 某二次游戏
[165.42-166.42] 某二次游戏
[166.42-168.42] 一环不是说自己福利很屌吗
[168.42-169.42] 是吧
[169.42-171.42] 让玩家干不上福利
[171.42-173.42] 不吃老豆腐的
[174.42-175.42] 然后然后
[175.42-178.42] 然后那个海鸥懂你意思
[178.42-179.42] 神的
[179.42-180.42] 1921
[180.42-182.42] 还剩好多21
[182.42-184.42] 看钱啊
[184.42-185.42] 圈圈圈如
[185.42-191.07] 这家亲属地
[191.07-198.44] 你还
[198.44-199.44] 这个路是不是
[199.44-200.44] 是不是可以培育啊
[200.44-202.44] 跑的巨快
[202.44-204.44] 这个这个去年这个路
[205.44-206.44] 好
[206.44-207.44] 好
[207.44-208.44] 刚开
[208.44-209.44] 刚开福利时候
[209.44-210.44] 就有人研究这事
[210.44-212.44] 就是去培育他那个速度
[212.44-214.44] 我现在还不能骑这个
[214.44-216.44] 不能骑这个
[216.44-218.44] 我要骑朱雀
[218.44-222.51] 好这么点
[222.51-223.51] 还
[223.51-224.51] 比较瘦
